vf2_mean,vf3_mean,iterations,vf2_matches,vf3_matches,target_path,pattern_path,target_vertices,target_edges,pattern_vertices,pattern_edges
0.026806,0.002055,10,24,24,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.01/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.01/pattern,256,1544,102,378
0.668371,0.002341,10,4,4,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.02/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.02/pattern,256,1546,102,466
9.849007,0.002212,10,24,24,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.03/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.03/pattern,256,1546,102,390
32.837437,0.001572,10,8,8,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.04/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.04/pattern,256,1544,102,402
0.063034,0.001051,10,4,4,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.05/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.05/pattern,256,1548,102,450
12.940763,0.523419,10,34560,34560,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.06/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.06/pattern,256,1548,102,418
0.007658,0.002142,10,1,1,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.07/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.07/pattern,256,1548,102,476
0.014837,0.001477,10,12,12,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.08/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.08/pattern,256,1546,102,400
0.004430,0.001046,10,2,2,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.09/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.09/pattern,256,1546,102,456
68.371261,0.007643,5,2,2,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.06/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.06/pattern,625,4146,250,1090
3.942714,1.236470,10,1600,1600,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.00/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.00/pattern,800,2400,480,1434
