vf2_mean,vf3_mean,iterations,vf2_matches,vf3_matches,target_path,pattern_path,target_vertices,target_edges,pattern_vertices,pattern_edges
-1.000000,-1.000000,0,-1,-1,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.07/target,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.07/pattern,1296,7718,518,2400
-1.000000,-1.000000,0,-1,-1,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.08/target,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.08/pattern,1296,7716,518,2070
-1.000000,-1.000000,0,-1,-1,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.09/target,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.09/pattern,1296,7716,518,2190
-1.000000,0.026406,0,-1,576,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.00/target,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.00/pattern,625,4148,250,1118
-1.000000,5.208513,0,-1,115200,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.01/target,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.01/pattern,625,4148,250,1070
-1.000000,0.004254,0,-1,24,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.02/target,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.02/pattern,625,4148,250,1144
-1.000000,0.005265,0,-1,24,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.03/target,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.03/pattern,625,4148,250,1122
-1.000000,0.791432,0,-1,18432,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.04/target,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.04/pattern,625,4148,250,1064
-1.000000,0.005650,0,-1,48,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.05/target,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.05/pattern,625,4146,250,1144
-1.000000,0.019643,0,-1,4,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.07/target,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.07/pattern,625,4140,250,1072
-1.000000,0.134522,0,-1,3072,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.08/target,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.08/pattern,625,4146,250,1090
-1.000000,0.016913,0,-1,288,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.09/target,si/si4_m4D_m4Dr6_625/si4_m4Dr6_m625.09/pattern,625,4148,250,982
-1.000000,0.770480,0,-1,1,si/si4_rand_r005_200/si4_r005_m200.00/target,si/si4_rand_r005_200/si4_r005_m200.00/pattern,200,3898,80,632
-1.000000,8.271386,0,-1,1,si/si4_rand_r005_200/si4_r005_m200.01/target,si/si4_rand_r005_200/si4_r005_m200.01/pattern,200,3898,80,630
-1.000000,0.362974,0,-1,1,si/si4_rand_r005_200/si4_r005_m200.02/target,si/si4_rand_r005_200/si4_r005_m200.02/pattern,200,3886,80,604
-1.000000,0.891781,0,-1,1,si/si4_rand_r005_200/si4_r005_m200.03/target,si/si4_rand_r005_200/si4_r005_m200.03/pattern,200,3896,80,636
-1.000000,0.697217,0,-1,1,si/si4_rand_r005_200/si4_r005_m200.04/target,si/si4_rand_r005_200/si4_r005_m200.04/pattern,200,3896,80,614
-1.000000,0.070437,0,-1,1,si/si4_rand_r005_200/si4_r005_m200.05/target,si/si4_rand_r005_200/si4_r005_m200.05/pattern,200,3892,80,670
-1.000000,0.110370,0,-1,1,si/si4_rand_r005_200/si4_r005_m200.06/target,si/si4_rand_r005_200/si4_r005_m200.06/pattern,200,3916,80,650
-1.000000,0.527699,0,-1,1,si/si4_rand_r005_200/si4_r005_m200.07/target,si/si4_rand_r005_200/si4_r005_m200.07/pattern,200,3908,80,610
-1.000000,0.661171,0,-1,1,si/si4_rand_r005_200/si4_r005_m200.08/target,si/si4_rand_r005_200/si4_r005_m200.08/pattern,200,3894,80,620
-1.000000,0.657551,0,-1,1,si/si4_rand_r005_200/si4_r005_m200.09/target,si/si4_rand_r005_200/si4_r005_m200.09/pattern,200,3870,80,604
-1.000000,261.841203,0,-1,1,si/si4_rand_r01_400/si4_r01_m400.00/target,si/si4_rand_r01_400/si4_r01_m400.00/pattern,400,30374,160,4894
-1.000000,238.627452,0,-1,1,si/si4_rand_r01_400/si4_r01_m400.01/target,si/si4_rand_r01_400/si4_r01_m400.01/pattern,400,30352,160,4866
-1.000000,237.996074,0,-1,1,si/si4_rand_r01_400/si4_r01_m400.02/target,si/si4_rand_r01_400/si4_r01_m400.02/pattern,400,30332,160,4818
-1.000000,-1.000000,0,-1,-1,si/si4_rand_r01_400/si4_r01_m400.03/target,si/si4_rand_r01_400/si4_r01_m400.03/pattern,400,30382,160,4672
-1.000000,-1.000000,0,-1,-1,si/si4_rand_r01_400/si4_r01_m400.04/target,si/si4_rand_r01_400/si4_r01_m400.04/pattern,400,30340,160,4802
-1.000000,73.512652,0,-1,1,si/si4_rand_r01_400/si4_r01_m400.05/target,si/si4_rand_r01_400/si4_r01_m400.05/pattern,400,30320,160,4844
-1.000000,93.130406,0,-1,1,si/si4_rand_r01_400/si4_r01_m400.06/target,si/si4_rand_r01_400/si4_r01_m400.06/pattern,400,30222,160,4756
-1.000000,207.470354,0,-1,1,si/si4_rand_r01_400/si4_r01_m400.07/target,si/si4_rand_r01_400/si4_r01_m400.07/pattern,400,30308,160,4792
-1.000000,-1.000000,0,-1,-1,si/si4_rand_r01_400/si4_r01_m400.08/target,si/si4_rand_r01_400/si4_r01_m400.08/pattern,400,30316,160,4862
-1.000000,55.465578,0,-1,1,si/si4_rand_r01_400/si4_r01_m400.09/target,si/si4_rand_r01_400/si4_r01_m400.09/pattern,400,30336,160,4792
-1.000000,0.003797,0,-1,16,si/si6_bvg_b06m_400/si6_b06m_m400.00/target,si/si6_bvg_b06m_400/si6_b06m_m400.00/pattern,400,2396,240,1170
-1.000000,0.003772,0,-1,4,si/si6_bvg_b06m_400/si6_b06m_m400.01/target,si/si6_bvg_b06m_400/si6_b06m_m400.01/pattern,400,2400,240,1210
