target_graph_num_vertices,target_graph_num_edges,target_graph_path,subgraph_num_vertices,subgraph_num_edges,subgraph_path,function,min,max,num_samples,median,mean,stdev,num_found_matchings
800,7200,si/si4_bvg_b09_800/si4_b09_m800.02/target,320,2832,si/si4_bvg_b09_800/si4_b09_m800.02/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",1.7560673169999994,1.913553891,10,1.837052385,1.8324233230999996,0.04933045149374761,1600
800,7200,si/si4_bvg_b09_800/si4_b09_m800.03/target,320,2834,si/si4_bvg_b09_800/si4_b09_m800.03/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",1.806205619,1.9412681649999999,10,1.909609054999999,1.8952251856999998,0.046831467197446325,1600
800,7200,si/si4_bvg_b09_800/si4_b09_m800.04/target,320,2834,si/si4_bvg_b09_800/si4_b09_m800.04/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",1.7202468040000003,1.8821777830000013,10,1.7703654370000004,1.7828952326999998,0.05911263821250201,1600
800,7200,si/si4_bvg_b09_800/si4_b09_m800.05/target,320,2838,si/si4_bvg_b09_800/si4_b09_m800.05/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",1.8639944679999996,2.031665104,10,1.9455193735000005,1.9492492723000003,0.05503229123832435,1600
800,7200,si/si4_bvg_b09_800/si4_b09_m800.06/target,320,2832,si/si4_bvg_b09_800/si4_b09_m800.06/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",1.7813890969999981,2.070794397,10,1.8555326314999996,1.8826644351999995,0.09970520467968963,1600
800,7200,si/si4_bvg_b09_800/si4_b09_m800.07/target,320,2834,si/si4_bvg_b09_800/si4_b09_m800.07/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",1.7951438619999998,1.929553392,10,1.8336371634999997,1.8446222895999997,0.045847552000168844,1600
800,7200,si/si4_bvg_b09_800/si4_b09_m800.08/target,320,2834,si/si4_bvg_b09_800/si4_b09_m800.08/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",1.9081448070000029,1.995032208,10,1.9626024110000007,1.9598288448000003,0.021428037761773447,1600
800,7200,si/si4_bvg_b09_800/si4_b09_m800.09/target,320,2838,si/si4_bvg_b09_800/si4_b09_m800.09/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",2.0287711300000026,2.107363598,10,2.086166427,2.0795557766000003,0.022011884908478163,1600
200,1798,si/si4_bvg_b09m_200/si4_b09m_m200.00/target,80,434,si/si4_bvg_b09m_200/si4_b09m_m200.00/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.0010155909999999962,0.001147411000000001,10,0.001053155999999996,0.0010652279999999992,4.7902227032433126e-05,1
200,1792,si/si4_bvg_b09m_200/si4_b09m_m200.01/target,80,448,si/si4_bvg_b09m_200/si4_b09m_m200.01/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.0009821309999999972,0.0010860020000000026,10,0.0010067110000000004,0.0010132248999999989,2.8095882993975234e-05,2
200,1798,si/si4_bvg_b09m_200/si4_b09m_m200.02/target,80,456,si/si4_bvg_b09m_200/si4_b09m_m200.02/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.0011028410000000002,0.001202230999999998,10,0.0011172359999999971,0.0011259736999999985,2.9660295926634635e-05,2
200,1794,si/si4_bvg_b09m_200/si4_b09m_m200.03/target,80,446,si/si4_bvg_b09m_200/si4_b09m_m200.03/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.0012453809999999968,0.0015304240000000024,10,0.0014214729999999995,0.001396845599999999,8.779088868340712e-05,1
